No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	2.7kHz	BUZZER1	BUZ-SMD_4P-L7.5-W7.5-P7.59-TL	2.7kHz	MLT-7525	华能	C95299	LCSC
2	1	100nF	C1	C0603	100nF	CL10B104KO8NNNC	SAMSUNG(三星)	C66501	LCSC
3	3	22uF	C2,C3,C4	C1206	22uF	CL31A226KOHNNNE	SAMSUNG(三星)	C90146	LCSC
4	1	100nF	C17	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
5	29	100nF	C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46	C0402	100nF	CC0402KRX7R7BB104	YAGEO(国巨)	C60474	LCSC
6	1	SMF5.0A	D1	SOD-123FL_L2.7-W1.8-LS3.8-RD		SMF5.0A	MDD(辰达半导体)	C193402	LCSC
7	1	1N4148W-7-F	D2	SOD-123_L2.7-W1.6-LS3.7-RD-1		1N4148W-7-F	DIODES(美台)	C83528	LCSC
8	1	MF-MSMF050-2	F1	F1812		MF-MSMF050-2	BOURNS	C17313	LCSC
9	1	2.54-2*20	H1	HDR-TH_40P-P2.54-V-F-R2-C20-S2.54		2.54-2*20	ZHOURI(洲日)	C2977589	LCSC
10	1	2.54-2*5P简牛	H2	IDC-TH_10P-P2.54_C5665		2.54-2*5P简牛	BOOMELE(博穆精密)	C5665	LCSC
11	2	HX PM2.54-2x6P WC	H3,H4	HDR-TH_12P-P2.54-H-F-R2-C6-S2.54-W12.7-N		HX PM2.54-2x6P WC	hanxia(韩下)	C41417336	LCSC
12	4	FJ3161AH	HEX0,HEX1,HEX2,HEX3	LED-SEG-TH_10P-L14.0-W7.5-P2.54-S5.08-TL		FJ3161AH	志浩	C10684	LCSC
13	4	KH-6X6X6H-STM	KEY0,KEY1,KEY2,KEY3	SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_KH-6X6X6H-STM		KH-6X6X6H-STM	kinghelm(金航标)	C2837532	LCSC
14	4	BLM18AG601SN1D	L2,L3,L4,L5	L0603		BLM18AG601SN1D	muRata(村田)	C19330	LCSC
15	1	3.9uH	L6	IND-SMD_TNR4030S-3R9MTF	3.9uH	TNR4030S-3R9MTF	APV(爱普微)	C42380168	LCSC
16	11	YLED0603R	LED0,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10	LED0603-FD		YLED0603R	YONGYUTAI(永裕泰)	C19171390	LCSC
17	1	50MHz	OSC1	OSC-SMD_4P-L3.2-W2.5-BL	50MHz	OT2EL4C4JI-111OLP-50M	YXC(扬兴晶振)	C5203552	LCSC
18	1	MMBT3904LT1G	Q1	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		MMBT3904LT1G	onsemi(安森美)	C81464	LCSC
19	2	5.1kΩ	R1,R2	R0603	5.1kΩ	RMC06035.1K1%N	Tyohm(幸亚电阻)	C269716	LCSC
20	7	10kΩ	R3,R4,R5,R6,R7,R20,R21	R0603	10kΩ	RC0603FR-071KL	YAGEO(国巨)		LCSC
21	11	1kΩ	R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18	R0603	1kΩ	RC0603FR-071KL	YAGEO(国巨)	C22548	LCSC
22	1	1kΩ	R19	R0603	1kΩ	RC0603FR-071KL	YAGEO(国巨)		LCSC
23	1	33	R22	R0603	33	RC0603FR-071KL	YAGEO(国巨)		LCSC
24	3	10kΩ	RN1,RN2,RN3	RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL	10kΩ	4D03WGJ0103T5E	UNI-ROYAL(厚声)	C29718	LCSC
25	8	1kΩ	RN4,RN5,RN6,RN7,RN8,RN9,RN10,RN11	RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL	1kΩ	4D03WGJ0102T5E	UNI-ROYAL(厚声)	C20197	LCSC
26	4	100Ω	RN12,RN13,RN14,RN15	RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL	100Ω	YC164-FR-07100RL	YAGEO(国巨)	C136838	LCSC
27	10	SS12F44G4	SW0,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9	SW-TH_SHOU-HAN_SS12F44G4		SS12F44G4	SHOU HAN(首韩)	C2887261	LCSC
28	1	MK-12C02-G020	SW10	SW-SMD_MK-12C02-G020		MK-12C02-G020	G-Switch(品赞)	C963206	LCSC
29	1	USB-TYPE-C-009	U1	TYPE-C-SMD_TYPE-C-6P		USB-TYPE-C-009	DEALON(德艺隆)	C2927029	LCSC
30	1	AP63203WU-7	U2	TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL		AP63203WU-7	DIODES(美台)	C780769	LCSC
31	1	10M02SCE144C8G	U3	EQFP-144_L20.0-W20.0-P0.50-LS22.0-BL-EP4.0		10M02SCE144C8G	Intel/Altera	C78764	LCSC
